rule,pair,rows,true_corr,pred_corr,diff
none,Respiratory Rate vs SpO2,98240,5.1434605932958976e-05,-0.15788326227260177,-0.15793469687853473
none,Respiratory Rate vs Magnesium,6728,-0.010805728564272253,0.022071585128282688,0.03287731369255494
none,SpO2 vs Magnesium,6665,-0.03934634877517134,-0.026023989189266742,0.013322359585904598
target_abs_le_1000,Respiratory Rate vs SpO2,98238,-0.06643641915494926,-0.15789165404431632,-0.09145523488936706
target_abs_le_1000,Respiratory Rate vs Magnesium,6728,-0.010805728564272253,0.022071585128282688,0.03287731369255494
target_abs_le_1000,SpO2 vs Magnesium,6665,-0.03934634877517134,-0.026023989189266742,0.013322359585904598
target_and_pred_abs_le_1000,Respiratory Rate vs SpO2,98238,-0.06643641915494926,-0.15789165404431632,-0.09145523488936706
target_and_pred_abs_le_1000,Respiratory Rate vs Magnesium,6728,-0.010805728564272253,0.022071585128282688,0.03287731369255494
target_and_pred_abs_le_1000,SpO2 vs Magnesium,6665,-0.03934634877517134,-0.026023989189266742,0.013322359585904598
target_iqr3,Respiratory Rate vs SpO2,97841,-0.13192240456369947,-0.16436049341000114,-0.03243808884630167
target_iqr3,Respiratory Rate vs Magnesium,6687,-0.006899738072489026,0.02747609168113221,0.03437582975362124
target_iqr3,SpO2 vs Magnesium,6610,-0.017053292176607695,-0.04421917290140104,-0.027165880724793343
target_and_pred_iqr3,Respiratory Rate vs SpO2,97219,-0.13238925458441228,-0.16802142433426323,-0.03563216974985095
target_and_pred_iqr3,Respiratory Rate vs Magnesium,6543,0.0011961233343852963,0.04158191305748159,0.04038578972309629
target_and_pred_iqr3,SpO2 vs Magnesium,6497,-0.017706213776953222,-0.05299858119518729,-0.03529236741823407
target_p0.1_99.9,Respiratory Rate vs SpO2,98003,-0.12733722633483224,-0.16108531793072298,-0.033748091595890733
target_p0.1_99.9,Respiratory Rate vs Magnesium,6705,-0.012974109463085064,0.022028520291503078,0.03500262975458814
target_p0.1_99.9,SpO2 vs Magnesium,6647,-0.01588049265098648,-0.034385706916694056,-0.018505214265707576
target_and_pred_p0.1_99.9,Respiratory Rate vs SpO2,97752,-0.12813513130590054,-0.16718197839153556,-0.03904684708563502
target_and_pred_p0.1_99.9,Respiratory Rate vs Magnesium,6677,-0.0160963683102905,0.024401846473915852,0.04049821478420636
target_and_pred_p0.1_99.9,SpO2 vs Magnesium,6635,-0.013815681780456232,-0.037996911475004135,-0.024181229694547904
target_p1_99,Respiratory Rate vs SpO2,95634,-0.1246569358838492,-0.15924106733343232,-0.034584131449583125
target_p1_99,Respiratory Rate vs Magnesium,6469,-0.004574697152051626,0.02833652447755981,0.03291122162961144
target_p1_99,SpO2 vs Magnesium,6503,-0.019427823490084543,-0.04434982848643599,-0.024922004996351447
target_and_pred_p1_99,Respiratory Rate vs SpO2,92443,-0.12050870111687022,-0.15354311771497925,-0.03303441659810903
target_and_pred_p1_99,Respiratory Rate vs Magnesium,6245,0.00011917261726780582,0.05089282529663434,0.05077365267936653
target_and_pred_p1_99,SpO2 vs Magnesium,6307,-0.025710881656434377,-0.05910632317895949,-0.03339544152252511
