rule,variable_code,variable,patients,r2_patient,raw_mae,true_patient_avg_std,smae
none,220210,Respiratory Rate,5520,0.001170192305808948,0.6284647951764052,19.317829819959943,0.032532888064219855
none,220277,SpO2,5507,0.07902000593523928,0.38414246949072345,2.170166246984403,0.17701061843741978
none,220635,Magnesium,4322,0.33012014025155667,0.3956963629943293,0.9631510925118841,0.41083519093806864
target_abs_le_1000,220210,Respiratory Rate,5520,0.5100574109042961,0.3687192544529984,0.7912899514810184,0.4659723705108156
target_abs_le_1000,220277,SpO2,5507,0.47734058459581086,0.35743316794649077,0.8585137488247487,0.4163394802189182
target_abs_le_1000,220635,Magnesium,4322,0.33012014025155667,0.3956963629943293,0.9631510925118841,0.41083519093806864
target_and_pred_abs_le_1000,220210,Respiratory Rate,5520,0.5100574109042961,0.3687192544529984,0.7912899514810184,0.4659723705108156
target_and_pred_abs_le_1000,220277,SpO2,5507,0.47734058459581086,0.35743316794649077,0.8585137488247487,0.4163394802189182
target_and_pred_abs_le_1000,220635,Magnesium,4322,0.33012014025155667,0.3956963629943293,0.9631510925118841,0.41083519093806864
target_iqr3,220210,Respiratory Rate,5520,0.5732399823179435,0.36185686817280344,0.7373289552429275,0.4907672018028677
target_iqr3,220277,SpO2,5500,0.42993069574951115,0.3412682505307609,0.6578024138984115,0.5188005445408186
target_iqr3,220635,Magnesium,4310,0.4742661683053241,0.38029806309859354,0.6992426415780616,0.5438713838165404
target_and_pred_iqr3,220210,Respiratory Rate,5513,0.5615571801910446,0.36290512793360313,0.732334257742847,0.4955457485385508
target_and_pred_iqr3,220277,SpO2,5483,0.5425500118790298,0.3329268705092877,0.6428380206949678,0.5179016483022625
target_and_pred_iqr3,220635,Magnesium,4264,0.4236145418471211,0.37685450637632584,0.6607165239330262,0.5703724558499552
target_p0.1_99.9,220210,Respiratory Rate,5520,0.5753648504878603,0.3616825733242711,0.7382255145182898,0.4899350756797912
target_p0.1_99.9,220277,SpO2,5501,0.4671746754677998,0.34539083451748326,0.6764039564145129,0.5106280518350803
target_p0.1_99.9,220635,Magnesium,4319,0.5021546573554874,0.38399537164341013,0.7381664287338662,0.5202016194397447
target_and_pred_p0.1_99.9,220210,Respiratory Rate,5517,0.5671757229490217,0.3624057026741644,0.7341331937348868,0.4936511599896923
target_and_pred_p0.1_99.9,220277,SpO2,5494,0.5326787017812677,0.3406601833694166,0.6650015186164138,0.5122697825986714
target_and_pred_p0.1_99.9,220635,Magnesium,4314,0.49585556104929973,0.3839270947011625,0.734184081486729,0.5229302900761712
target_p1_99,220210,Respiratory Rate,5516,0.5669798273635964,0.3492552340695284,0.6994361296964908,0.49933828013871995
target_p1_99,220277,SpO2,5491,0.3943626319078767,0.33547582208126814,0.6253879805673659,0.5364283173093877
target_p1_99,220635,Magnesium,4279,0.4423775031461584,0.37335535823022514,0.6663834598666031,0.5602710462005819
target_and_pred_p1_99,220210,Respiratory Rate,5481,0.5480467504951227,0.34951766917732663,0.6864647872244797,0.5091560057880018
target_and_pred_p1_99,220277,SpO2,5443,0.5271460945572093,0.32753418805140144,0.6120831758422759,0.5351138554015766
target_and_pred_p1_99,220635,Magnesium,4240,0.42722220188974425,0.3728757359157181,0.6535036583608977,0.5705794162667063
